Game,"Skin Name","Withdraw Price"
CS2,"AK-47 | Wild Lotus (Factory New)",16780.63
CS2,"AWP | Gungnir (Factory New)",13778.71
CS2,"AWP | Dragon Lore (Factory New)",12823.59
CS2,"★ Butterfly Knife | Doppler Black Pearl (Factory New)",12665.77
CS2,"AK-47 | Wild Lotus (Minimal Wear)",11777.18
CS2,"★ Butterfly Knife | Doppler Ruby (Factory New)",11577.04
CS2,"AWP | Gungnir (Minimal Wear)",11213.56
CS2,"★ Sport Gloves | Superconductor (Factory New)",10515.68
CS2,"★ Moto Gloves | Spearmint (Factory New)",10263.37
CS2,"StatTrak™ M4A4 | Howl (Minimal Wear)",10246.83
CS2,"★ Butterfly Knife | Gamma Doppler Emerald (Factory New)",9789.5
CS2,"AWP | Dragon Lore (Minimal Wear)",9737.47
CS2,"★ M9 Bayonet | Doppler Black Pearl (Factory New)",9263.31
CS2,"★ StatTrak™ Karambit | Gamma Doppler Emerald (Factory New)",9097.47
CS2,"★ Karambit | Gamma Doppler Emerald (Factory New)",9021.6
CS2,"★ Sport Gloves | Hedge Maze (Minimal Wear)",8973.56
CS2,"★ Karambit | Doppler Ruby (Factory New)",8821.45
CS2,"★ StatTrak™ Karambit | Doppler Ruby (Factory New)",8715.4
CS2,"AK-47 | Wild Lotus (Field-Tested)",8667.43
CS2,"★ M9 Bayonet | Gamma Doppler Emerald (Factory New)",8574.98
CS2,"★ M9 Bayonet | Doppler Ruby (Minimal Wear)",8521.51
CS2,"AWP | Gungnir (Field-Tested)",8267.22
CS2,"★ Sport Gloves | Vice (Factory New)",8140.6
CS2,"★ M9 Bayonet | Gamma Doppler Emerald (Minimal Wear)",8005.35
CS2,"M4A4 | Howl (Factory New)",7374.3
CS2,"★ Butterfly Knife | Doppler Sapphire (Factory New)",7235.74
CS2,"★ StatTrak™ Butterfly Knife | Doppler Sapphire (Factory New)",7170.99
CS2,"★ Butterfly Knife | Doppler Sapphire (Minimal Wear)",7064.55
CS2,"AWP | Dragon Lore (Field-Tested)",6958.63
CS2,"★ Sport Gloves | Pandora's Box (Minimal Wear)",6739.95
CS2,"AK-47 | Wild Lotus (Well-Worn)",5860.27
CS2,"M4A4 | Howl (Minimal Wear)",5572.91
CS2,"★ M9 Bayonet | Doppler Sapphire (Factory New)",5473.76
CS2,"StatTrak™ AK-47 | Fire Serpent (Factory New)",5388.02
CS2,"★ Sport Gloves | Hedge Maze (Field-Tested)",5334.44
CS2,"★ Karambit | Doppler Sapphire (Factory New)",5311.27
CS2,"AWP | Dragon Lore (Battle-Scarred)",5278.4
CS2,"★ StatTrak™ Karambit | Doppler Sapphire (Factory New)",4926.47
CS2,"★ Butterfly Knife | Doppler Phase 2 (Factory New)",4906.45
CS2,"AWP | Medusa (Factory New)",4778.6
CS2,"★ Butterfly Knife | Doppler Phase 2 (Minimal Wear)",4756.87
CS2,"★ StatTrak™ Butterfly Knife | Doppler Phase 2 (Factory New)",4721.09
CS2,"M4A4 | Howl (Field-Tested)",4603.09
CS2,"★ Sport Gloves | Pandora's Box (Field-Tested)",4587.7
CS2,"AK-47 | Wild Lotus (Battle-Scarred)",4299.64
CS2,"Souvenir AK-47 | Gold Arabesque (Factory New)",4138.23
CS2,"★ Sport Gloves | Hedge Maze (Well-Worn)",4110.51
CS2,"★ Moto Gloves | Spearmint (Minimal Wear)",4075.11
CS2,"M4A1-S | Knight (Factory New)",3975.74
CS2,"AK-47 | Gold Arabesque (Factory New)",3940.94
CS2,"AUG | Akihabara Accept (Factory New)",3925.7
CS2,"★ Sport Gloves | Superconductor (Minimal Wear)",3924.07
CS2,"★ Sport Gloves | Slingshot (Factory New)",3694.85
CS2,"AK-47 | X-Ray (Factory New)",3591.86
CS2,"AWP | The Prince (Factory New)",3525.5
CS2,"★ Sport Gloves | Ultra Violent (Minimal Wear)",3562.17
CS2,"★ Skeleton Knife | Doppler Ruby (Factory New)",3232.99
CS2,"★ Talon Knife | Doppler Ruby (Factory New)",3231.3
CS2,"MP9 | Wild Lily (Factory New)",3215.44
CS2,"★ Butterfly Knife | Doppler Phase 4 (Minimal Wear)",3207.3
CS2,"★ Driver Gloves | King Snake (Factory New)",3133.53
CS2,"★ Specialist Gloves | Crimson Kimono (Minimal Wear)",3123.3
CS2,"★ StatTrak™ Butterfly Knife | Doppler Phase 4 (Factory New)",3109.83
CS2,"Negev | Mjölnir (Factory New)",3107.98
CS2,"★ Sport Gloves | Amphibious (Factory New)",3094.43
CS2,"★ Butterfly Knife | Doppler Phase 4 (Factory New)",3075.96
CS2,"★ Karambit | Gamma Doppler Phase 2 (Factory New)",3030.85
CS2,"AWP | Medusa (Minimal Wear)",2955.88
CS2,"★ StatTrak™ Karambit | Gamma Doppler Phase 2 (Factory New)",2924.93
CS2,"★ StatTrak™ Butterfly Knife | Doppler Phase 1 (Factory New)",2893.62
CS2,"M4A1-S | Welcome to the Jungle (Factory New)",2848.04
CS2,"AWP | Desert Hydra (Factory New)",2847.95
CS2,"★ Sport Gloves | Nocts (Factory New)",2815.16
CS2,"AK-47 | Gold Arabesque (Minimal Wear)",2770.98
CS2,"★ Moto Gloves | Spearmint (Field-Tested)",2763.44
CS2,"★ Butterfly Knife | Gamma Doppler Phase 2 (Factory New)",2740.35
CS2,"★ Butterfly Knife | Fade (Minimal Wear)",2740.35
CS2,"Souvenir M4A1-S | Knight (Factory New)",2709.55
CS2,"AWP | The Prince (Minimal Wear)",2708.09
CS2,"AK-47 | Fire Serpent (Factory New)",2693.93
CS2,"★ Skeleton Knife | Doppler Black Pearl (Factory New)",2674.65
CS2,"★ Sport Gloves | Superconductor (Field-Tested)",2666.06
CS2,"AK-47 | Hydroponic (Minimal Wear)",2663.22
CS2,"Souvenir AWP | Desert Hydra (Factory New)",2654.13
CS2,"★ StatTrak™ Butterfly Knife | Gamma Doppler Phase 2 (Factory New)",2632.58
CS2,"★ Specialist Gloves | Emerald Web (Minimal Wear)",2628.88
CS2,"★ StatTrak™ Butterfly Knife | Fade (Factory New)",2617.18
CS2,"★ Karambit | Gamma Doppler Phase 2 (Minimal Wear)",2617.18
CS2,"MP9 | Wild Lily (Minimal Wear)",2617.18
CS2,"★ Sport Gloves | Pandora's Box (Battle-Scarred)",2617.11
CS2,"★ Butterfly Knife | Fade (Factory New)",2586.39
CS2,"★ Butterfly Knife | Doppler Phase 1 (Factory New)",2532.43
CS2,"★ Driver Gloves | Snow Leopard (Factory New)",2531.73
CS2,"★ Butterfly Knife | Gamma Doppler Phase 2 (Minimal Wear)",2463.23
CS2,"★ StatTrak™ Karambit | Gamma Doppler Phase 1 (Factory New)",2463.07
CS2,"M4A1-S | Hot Rod (Minimal Wear)",2463.07
CS2,"★ StatTrak™ Butterfly Knife | Doppler (Factory New)",2463.07
CS2,"Souvenir AK-47 | Gold Arabesque (Minimal Wear)",2447.76
CS2,"★ StatTrak™ Butterfly Knife | Doppler Phase 3 (Factory New)",2408.22
CS2,"★ StatTrak™ Skeleton Knife | Doppler Black Pearl (Factory New)",2393.16
CS2,"M4A1-S | Hot Rod (Factory New)",2324.6
CS2,"★ Sport Gloves | Arid (Minimal Wear)",2324.44
CS2,"★ StatTrak™ Butterfly Knife | Gamma Doppler Phase 1 (Factory New)",2321.03
CS2,"★ StatTrak™ Bayonet | Gamma Doppler Emerald (Factory New)",2314.8
CS2,"★ Driver Gloves | Crimson Weave (Minimal Wear)",2309.2
CS2,"★ Butterfly Knife | Doppler Phase 3 (Minimal Wear)",2306.19
CS2,"★ Moto Gloves | Cool Mint (Minimal Wear)",2300.04
CS2,"★ StatTrak™ Karambit | Gamma Doppler Phase 3 (Factory New)",2290.8
CS2,"★ Stiletto Knife | Doppler Black Pearl (Factory New)",2280.35
CS2,"★ Butterfly Knife | Lore (Factory New)",2268.17
CS2,"★ Butterfly Knife | Gamma Doppler Phase 3 (Minimal Wear)",2260.02
CS2,"★ StatTrak™ Butterfly Knife | Gamma Doppler Phase 4 (Factory New)",2247.7
CS2,"★ StatTrak™ Butterfly Knife | Gamma Doppler Phase 3 (Factory New)",2247.39
CS2,"★ Butterfly Knife | Gamma Doppler Phase 1 (Minimal Wear)",2241.92
CS2,"★ Butterfly Knife | Gamma Doppler Phase 1 (Factory New)",2241.54
CS2,"★ Butterfly Knife | Doppler (Minimal Wear)",2237.6
CS2,"AWP | The Prince (Field-Tested)",2232.15
CS2,"★ Karambit | Fade (Minimal Wear)",2231.99
CS2,"★ Butterfly Knife | Doppler Phase 3 (Factory New)",2231.76
CS2,"★ Butterfly Knife | Doppler (Factory New)",2230
CS2,"★ Butterfly Knife | Gamma Doppler Phase 3 (Factory New)",2197.97
CS2,"★ Butterfly Knife | Gamma Doppler (Minimal Wear)",2196.85
CS2,"★ Butterfly Knife | Gamma Doppler Phase 4 (Factory New)",2193.81
CS2,"★ StatTrak™ Stiletto Knife | Doppler Ruby (Factory New)",2188.8
CS2,"★ Butterfly Knife | Gamma Doppler Phase 4 (Minimal Wear)",2186.38
CS2,"★ Specialist Gloves | Fade (Factory New)",2185.96
CS2,"★ StatTrak™ Butterfly Knife | Gamma Doppler (Factory New)",2178.19
CS2,"★ Bayonet | Doppler Ruby (Factory New)",2170.72
CS2,"★ Butterfly Knife | Gamma Doppler (Factory New)",2170.49
CS2,"★ Stiletto Knife | Doppler Ruby (Factory New)",2163.03
CS2,"★ Karambit | Fade (Factory New)",2158.87
CS2,"★ Karambit | Gamma Doppler Phase 1 (Factory New)",2155.33
CS2,"AWP | Medusa (Field-Tested)",2154.94
CS2,"★ Bayonet | Doppler Black Pearl (Factory New)",2148.26
CS2,"★ Karambit | Doppler Phase 2 (Factory New)",2139.93
CS2,"★ Karambit | Gamma Doppler Phase 4 (Minimal Wear)",2119.64
CS2,"★ Specialist Gloves | Crimson Kimono (Field-Tested)",2116.84
CS2,"★ Karambit | Gamma Doppler Phase 3 (Minimal Wear)",2116.23
CS2,"★ Specialist Gloves | Pillow Punchers (Minimal Wear)",2197.12
CS2,"★ Karambit | Ultraviolet (Factory New)",2078.35
CS2,"★ StatTrak™ Karambit | Doppler Phase 2 (Factory New)",2078.35
CS2,"★ StatTrak™ Karambit | Fade (Factory New)",2066.04
CS2,"★ Karambit | Gamma Doppler (Minimal Wear)",2047.48
CS2,"★ Butterfly Knife | Ultraviolet (Factory New)",2037.23
CS2,"★ Karambit | Gamma Doppler Phase 3 (Factory New)",2019.86
CS2,"★ Karambit | Gamma Doppler Phase 4 (Factory New)",2001.37
CS2,"StatTrak™ AK-47 | Fire Serpent (Field-Tested)",2001.2
CS2,"★ Karambit | Doppler Phase 2 (Minimal Wear)",2001.06
CS2,"AWP | Medusa (Well-Worn)",1985.58
CS2,"★ Talon Knife | Doppler Sapphire (Factory New)",1984.44
CS2,"AWP | Desert Hydra (Minimal Wear)",1984.19
